evidence_id,case_id,fir_number,evidence_number,evidence_type,description,collected_by_officer_id,collection_location,storage_location,chain_of_custody_status,created_at
EVID-000788,CASE-000188,FIR/2025/PS-CHE-001/00188,EVID/00188/0788,DIGITAL,SIM card recovered,OFFICER-00037,"Near Landmark 59, T. Nagar, Chennai","Locker-18, Malkhana STATION-PS-CHE-001",SECURED_IN_MALKHANA,2025-05-11T20:53:35.159746
EVID-000789,CASE-000189,FIR/2024/PS-CHE-002/00189,EVID/00189/0789,FORENSIC,Chemical reagent sample,OFFICER-00023,"Near Landmark 59, Mylapore, Chennai","Locker-11, Malkhana STATION-PS-CHE-002",SECURED_IN_MALKHANA,2026-01-07T01:53:35.159786
EVID-000790,CASE-000190,FIR/2026/PS-LKO-001/00190,EVID/00190/0790,FORENSIC,Chemical reagent sample,OFFICER-00020,"Near Landmark 20, Hazratganj, Lucknow","Locker-35, Malkhana STATION-PS-LKO-001",SECURED_IN_MALKHANA,2026-02-09T11:53:35.159818
EVID-000791,CASE-000191,FIR/2026/PS-MUM-001/00191,EVID/00191/0791,PHYSICAL,Fabric sample with blood stains,OFFICER-00038,"Near Landmark 51, Colaba, Mumbai City","Locker-6, Malkhana STATION-PS-MUM-001",SECURED_IN_MALKHANA,2026-07-19T12:53:35.159846
EVID-000792,CASE-000192,FIR/2025/PS-MUM-002/00192,EVID/00192/0792,BIOLOGICAL,Hair strand recovered from crime scene,OFFICER-00020,"Near Landmark 95, Bandra West, Mumbai Suburban","Locker-4, Malkhana STATION-PS-MUM-002",SECURED_IN_MALKHANA,2025-08-01T01:53:35.159874
EVID-000793,CASE-000193,FIR/2024/PS-PUN-001/00193,EVID/00193/0793,DOCUMENTARY,Forged land deed agreement,OFFICER-00040,"Near Landmark 58, Shivajinagar, Pune","Locker-6, Malkhana STATION-PS-PUN-001",SECURED_IN_MALKHANA,2025-08-24T08:53:35.159903
EVID-000794,CASE-000194,FIR/2026/PS-DEL-001/00194,EVID/00194/0794,PHYSICAL,Shoe impression cast,OFFICER-00024,"Near Landmark 22, Connaught Place, Central Delhi","Locker-12, Malkhana STATION-PS-DEL-001",SECURED_IN_MALKHANA,2025-11-24T18:53:35.159946
EVID-000795,CASE-000195,FIR/2025/PS-DEL-002/00195,EVID/00195/0795,DIGITAL,USB flash drive with encrypted documents,OFFICER-00038,"Near Landmark 14, Hauz Khas, South Delhi","Locker-39, Malkhana STATION-PS-DEL-002",SECURED_IN_MALKHANA,2025-12-12T05:53:35.159976
EVID-000796,CASE-000196,FIR/2025/PS-BLR-001/00196,EVID/00196/0796,PHYSICAL,Latent fingerprint lifted from door handle,OFFICER-00009,"Near Landmark 23, Koramangala 1st to 8th Blocks, Bangalore Urban","Locker-6, Malkhana STATION-PS-BLR-001",SECURED_IN_MALKHANA,2025-08-30T14:53:35.160003
EVID-000797,CASE-000197,FIR/2026/PS-BLR-002/00197,EVID/00197/0797,DOCUMENTARY,Fake identification card,OFFICER-00028,"Near Landmark 44, Indiranagar 1st and 2nd Stages, Bangalore Urban","Locker-30, Malkhana STATION-PS-BLR-002",SECURED_IN_MALKHANA,2025-11-03T09:53:35.160029
EVID-000798,CASE-000198,FIR/2026/PS-CHE-001/00198,EVID/00198/0798,DIGITAL,USB flash drive with encrypted documents,OFFICER-00035,"Near Landmark 65, T. Nagar, Chennai","Locker-2, Malkhana STATION-PS-CHE-001",SECURED_IN_MALKHANA,2025-04-20T13:53:35.160061
EVID-000799,CASE-000199,FIR/2026/PS-CHE-002/00199,EVID/00199/0799,BIOLOGICAL,Blood sample collected from vehicle seat,OFFICER-00022,"Near Landmark 44, Mylapore, Chennai","Locker-6, Malkhana STATION-PS-CHE-002",SECURED_IN_MALKHANA,2026-01-02T21:53:35.160088
EVID-000800,CASE-000200,FIR/2024/PS-LKO-001/00200,EVID/00200/0800,FORENSIC,Bullet casing recovered from floor,OFFICER-00006,"Near Landmark 80, Hazratganj, Lucknow","Locker-14, Malkhana STATION-PS-LKO-001",SECURED_IN_MALKHANA,2025-12-01T23:53:35.160117
EVID-000801,CASE-000001,FIR/2026/PS-MUM-001/00001,EVID/00001/0801,PHYSICAL,Fabric sample with blood stains,OFFICER-00035,"Near Landmark 21, Colaba, Mumbai City","Locker-16, Malkhana STATION-PS-MUM-001",SECURED_IN_MALKHANA,2025-06-18T08:53:35.150719
EVID-000802,CASE-000002,FIR/2026/PS-MUM-002/00002,EVID/00002/0802,BIOLOGICAL,Blood sample collected from vehicle seat,OFFICER-00045,"Near Landmark 83, Bandra West, Mumbai Suburban","Locker-29, Malkhana STATION-PS-MUM-002",SECURED_IN_MALKHANA,2026-07-24T20:53:35.150816
EVID-000803,CASE-000003,FIR/2025/PS-PUN-001/00003,EVID/00003/0803,PHYSICAL,Fabric sample with blood stains,OFFICER-00039,"Near Landmark 21, Shivajinagar, Pune","Locker-16, Malkhana STATION-PS-PUN-001",SECURED_IN_MALKHANA,2026-08-13T01:53:35.150882
EVID-000804,CASE-000004,FIR/2024/PS-DEL-001/00004,EVID/00004/0804,BIOLOGICAL,Swab sample for DNA profiling,OFFICER-00014,"Near Landmark 47, Connaught Place, Central Delhi","Locker-40, Malkhana STATION-PS-DEL-001",SECURED_IN_MALKHANA,2025-07-01T12:53:35.150934
EVID-000805,CASE-000005,FIR/2026/PS-DEL-002/00005,EVID/00005/0805,BIOLOGICAL,Swab sample for DNA profiling,OFFICER-00035,"Near Landmark 75, Hauz Khas, South Delhi","Locker-5, Malkhana STATION-PS-DEL-002",SECURED_IN_MALKHANA,2025-06-07T04:53:35.150994
EVID-000806,CASE-000006,FIR/2026/PS-BLR-001/00006,EVID/00006/0806,DOCUMENTARY,Fraudulent cheque leaf,OFFICER-00008,"Near Landmark 22, Koramangala 1st to 8th Blocks, Bangalore Urban","Locker-26, Malkhana STATION-PS-BLR-001",SECURED_IN_MALKHANA,2026-08-01T03:53:35.151044
EVID-000807,CASE-000007,FIR/2024/PS-BLR-002/00007,EVID/00007/0807,DIGITAL,Mobile smartphone (Android/iOS),OFFICER-00033,"Near Landmark 93, Indiranagar 1st and 2nd Stages, Bangalore Urban","Locker-37, Malkhana STATION-PS-BLR-002",SECURED_IN_MALKHANA,2025-08-28T06:53:35.151090
EVID-000808,CASE-000008,FIR/2025/PS-CHE-001/00008,EVID/00008/0808,PHYSICAL,Recovered sharp metallic tool,OFFICER-00024,"Near Landmark 20, T. Nagar, Chennai","Locker-42, Malkhana STATION-PS-CHE-001",SECURED_IN_MALKHANA,2026-02-21T08:53:35.151135
EVID-000809,CASE-000009,FIR/2025/PS-CHE-002/00009,EVID/00009/0809,BIOLOGICAL,Swab sample for DNA profiling,OFFICER-00011,"Near Landmark 12, Mylapore, Chennai","Locker-49, Malkhana STATION-PS-CHE-002",SECURED_IN_MALKHANA,2025-05-17T10:53:35.151179
EVID-000810,CASE-000010,FIR/2025/PS-LKO-001/00010,EVID/00010/0810,BIOLOGICAL,Blood sample collected from vehicle seat,OFFICER-00016,"Near Landmark 77, Hazratganj, Lucknow","Locker-35, Malkhana STATION-PS-LKO-001",SECURED_IN_MALKHANA,2026-04-17T19:53:35.151230
EVID-000811,CASE-000011,FIR/2025/PS-MUM-001/00011,EVID/00011/0811,BIOLOGICAL,Hair strand recovered from crime scene,OFFICER-00024,"Near Landmark 87, Colaba, Mumbai City","Locker-22, Malkhana STATION-PS-MUM-001",SECURED_IN_MALKHANA,2026-04-24T21:53:35.151282
EVID-000812,CASE-000012,FIR/2024/PS-MUM-002/00012,EVID/00012/0812,FORENSIC,Toxicology vial from post-mortem,OFFICER-00049,"Near Landmark 85, Bandra West, Mumbai Suburban","Locker-21, Malkhana STATION-PS-MUM-002",SECURED_IN_MALKHANA,2025-06-03T21:53:35.151326
EVID-000813,CASE-000013,FIR/2026/PS-PUN-001/00013,EVID/00013/0813,DIGITAL,Hard disk drive containing DVR recording,OFFICER-00044,"Near Landmark 55, Shivajinagar, Pune","Locker-29, Malkhana STATION-PS-PUN-001",SECURED_IN_MALKHANA,2025-07-17T00:53:35.151371
EVID-000814,CASE-000014,FIR/2024/PS-DEL-001/00014,EVID/00014/0814,BIOLOGICAL,Blood sample collected from vehicle seat,OFFICER-00035,"Near Landmark 32, Connaught Place, Central Delhi","Locker-33, Malkhana STATION-PS-DEL-001",SECURED_IN_MALKHANA,2026-06-21T02:53:35.151414
EVID-000815,CASE-000015,FIR/2024/PS-DEL-002/00015,EVID/00015/0815,BIOLOGICAL,Swab sample for DNA profiling,OFFICER-00040,"Near Landmark 23, Hauz Khas, South Delhi","Locker-8, Malkhana STATION-PS-DEL-002",SECURED_IN_MALKHANA,2025-06-11T05:53:35.151457
EVID-000816,CASE-000016,FIR/2026/PS-BLR-001/00016,EVID/00016/0816,FORENSIC,Chemical reagent sample,OFFICER-00016,"Near Landmark 56, Koramangala 1st to 8th Blocks, Bangalore Urban","Locker-6, Malkhana STATION-PS-BLR-001",SECURED_IN_MALKHANA,2025-08-18T23:53:35.151502
EVID-000817,CASE-000017,FIR/2026/PS-BLR-002/00017,EVID/00017/0817,BIOLOGICAL,Swab sample for DNA profiling,OFFICER-00037,"Near Landmark 76, Indiranagar 1st and 2nd Stages, Bangalore Urban","Locker-8, Malkhana STATION-PS-BLR-002",SECURED_IN_MALKHANA,2025-11-06T18:53:35.151545
EVID-000818,CASE-000018,FIR/2025/PS-CHE-001/00018,EVID/00018/0818,BIOLOGICAL,Swab sample for DNA profiling,OFFICER-00020,"Near Landmark 32, T. Nagar, Chennai","Locker-12, Malkhana STATION-PS-CHE-001",SECURED_IN_MALKHANA,2026-08-06T18:53:35.151598
EVID-000819,CASE-000019,FIR/2025/PS-CHE-002/00019,EVID/00019/0819,BIOLOGICAL,Hair strand recovered from crime scene,OFFICER-00008,"Near Landmark 28, Mylapore, Chennai","Locker-41, Malkhana STATION-PS-CHE-002",SECURED_IN_MALKHANA,2026-03-10T16:53:35.151661
EVID-000820,CASE-000020,FIR/2024/PS-LKO-001/00020,EVID/00020/0820,PHYSICAL,Recovered sharp metallic tool,OFFICER-00031,"Near Landmark 28, Hazratganj, Lucknow","Locker-40, Malkhana STATION-PS-LKO-001",SECURED_IN_MALKHANA,2026-02-25T08:53:35.151744
EVID-000821,CASE-000021,FIR/2024/PS-MUM-001/00021,EVID/00021/0821,DIGITAL,Hard disk drive containing DVR recording,OFFICER-00016,"Near Landmark 45, Colaba, Mumbai City","Locker-29, Malkhana STATION-PS-MUM-001",SECURED_IN_MALKHANA,2026-01-05T22:53:35.151802
EVID-000822,CASE-000022,FIR/2024/PS-MUM-002/00022,EVID/00022/0822,DIGITAL,Hard disk drive containing DVR recording,OFFICER-00006,"Near Landmark 34, Bandra West, Mumbai Suburban","Locker-45, Malkhana STATION-PS-MUM-002",SECURED_IN_MALKHANA,2026-05-23T19:53:35.151990
EVID-000823,CASE-000023,FIR/2024/PS-PUN-001/00023,EVID/00023/0823,DOCUMENTARY,Forged land deed agreement,OFFICER-00020,"Near Landmark 39, Shivajinagar, Pune","Locker-31, Malkhana STATION-PS-PUN-001",SECURED_IN_MALKHANA,2026-01-26T14:53:35.152053
EVID-000824,CASE-000024,FIR/2024/PS-DEL-001/00024,EVID/00024/0824,DIGITAL,Hard disk drive containing DVR recording,OFFICER-00036,"Near Landmark 89, Connaught Place, Central Delhi","Locker-8, Malkhana STATION-PS-DEL-001",SECURED_IN_MALKHANA,2025-06-27T05:53:35.152104
EVID-000825,CASE-000025,FIR/2024/PS-DEL-002/00025,EVID/00025/0825,DIGITAL,USB flash drive with encrypted documents,OFFICER-00037,"Near Landmark 13, Hauz Khas, South Delhi","Locker-36, Malkhana STATION-PS-DEL-002",SECURED_IN_MALKHANA,2026-02-02T05:53:35.152159
EVID-000826,CASE-000026,FIR/2024/PS-BLR-001/00026,EVID/00026/0826,DOCUMENTARY,Handwritten ransom note,OFFICER-00009,"Near Landmark 67, Koramangala 1st to 8th Blocks, Bangalore Urban","Locker-26, Malkhana STATION-PS-BLR-001",SECURED_IN_MALKHANA,2026-03-27T02:53:35.152222
EVID-000827,CASE-000027,FIR/2025/PS-BLR-002/00027,EVID/00027/0827,DOCUMENTARY,Fraudulent cheque leaf,OFFICER-00027,"Near Landmark 90, Indiranagar 1st and 2nd Stages, Bangalore Urban","Locker-26, Malkhana STATION-PS-BLR-002",SECURED_IN_MALKHANA,2026-01-25T04:53:35.152605
EVID-000828,CASE-000028,FIR/2026/PS-CHE-001/00028,EVID/00028/0828,FORENSIC,Chemical reagent sample,OFFICER-00017,"Near Landmark 54, T. Nagar, Chennai","Locker-39, Malkhana STATION-PS-CHE-001",SECURED_IN_MALKHANA,2026-07-29T20:53:35.152665
EVID-000829,CASE-000029,FIR/2024/PS-CHE-002/00029,EVID/00029/0829,DIGITAL,Mobile smartphone (Android/iOS),OFFICER-00035,"Near Landmark 58, Mylapore, Chennai","Locker-2, Malkhana STATION-PS-CHE-002",SECURED_IN_MALKHANA,2025-10-06T19:53:35.152724
EVID-000830,CASE-000030,FIR/2025/PS-LKO-001/00030,EVID/00030/0830,FORENSIC,Chemical reagent sample,OFFICER-00005,"Near Landmark 60, Hazratganj, Lucknow","Locker-46, Malkhana STATION-PS-LKO-001",SECURED_IN_MALKHANA,2025-04-24T16:53:35.152773
EVID-000831,CASE-000031,FIR/2025/PS-MUM-001/00031,EVID/00031/0831,DOCUMENTARY,Handwritten ransom note,OFFICER-00042,"Near Landmark 90, Colaba, Mumbai City","Locker-13, Malkhana STATION-PS-MUM-001",SECURED_IN_MALKHANA,2026-08-16T23:53:35.152828
EVID-000832,CASE-000032,FIR/2025/PS-MUM-002/00032,EVID/00032/0832,FORENSIC,Bullet casing recovered from floor,OFFICER-00044,"Near Landmark 71, Bandra West, Mumbai Suburban","Locker-29, Malkhana STATION-PS-MUM-002",SECURED_IN_MALKHANA,2025-09-23T11:53:35.152878
EVID-000833,CASE-000033,FIR/2025/PS-PUN-001/00033,EVID/00033/0833,PHYSICAL,Shoe impression cast,OFFICER-00030,"Near Landmark 49, Shivajinagar, Pune","Locker-27, Malkhana STATION-PS-PUN-001",SECURED_IN_MALKHANA,2025-10-12T16:53:35.152928
EVID-000834,CASE-000034,FIR/2024/PS-DEL-001/00034,EVID/00034/0834,FORENSIC,Bullet casing recovered from floor,OFFICER-00032,"Near Landmark 98, Connaught Place, Central Delhi","Locker-11, Malkhana STATION-PS-DEL-001",SECURED_IN_MALKHANA,2025-10-14T01:53:35.152979
EVID-000835,CASE-000035,FIR/2026/PS-DEL-002/00035,EVID/00035/0835,DOCUMENTARY,Handwritten ransom note,OFFICER-00008,"Near Landmark 29, Hauz Khas, South Delhi","Locker-36, Malkhana STATION-PS-DEL-002",SECURED_IN_MALKHANA,2025-04-24T12:53:35.153037
EVID-000836,CASE-000036,FIR/2024/PS-BLR-001/00036,EVID/00036/0836,FORENSIC,Chemical reagent sample,OFFICER-00044,"Near Landmark 59, Koramangala 1st to 8th Blocks, Bangalore Urban","Locker-13, Malkhana STATION-PS-BLR-001",SECURED_IN_MALKHANA,2026-01-29T12:53:35.153086
EVID-000837,CASE-000037,FIR/2025/PS-BLR-002/00037,EVID/00037/0837,DOCUMENTARY,Handwritten ransom note,OFFICER-00006,"Near Landmark 27, Indiranagar 1st and 2nd Stages, Bangalore Urban","Locker-41, Malkhana STATION-PS-BLR-002",SECURED_IN_MALKHANA,2026-05-29T07:53:35.153135
EVID-000838,CASE-000038,FIR/2025/PS-CHE-001/00038,EVID/00038/0838,DOCUMENTARY,Forged land deed agreement,OFFICER-00016,"Near Landmark 20, T. Nagar, Chennai","Locker-18, Malkhana STATION-PS-CHE-001",SECURED_IN_MALKHANA,2026-08-15T08:53:35.153183
EVID-000839,CASE-000039,FIR/2025/PS-CHE-002/00039,EVID/00039/0839,DIGITAL,Mobile smartphone (Android/iOS),OFFICER-00036,"Near Landmark 33, Mylapore, Chennai","Locker-12, Malkhana STATION-PS-CHE-002",SECURED_IN_MALKHANA,2026-01-19T13:53:35.153237
EVID-000840,CASE-000040,FIR/2026/PS-LKO-001/00040,EVID/00040/0840,DOCUMENTARY,Handwritten ransom note,OFFICER-00006,"Near Landmark 85, Hazratganj, Lucknow","Locker-46, Malkhana STATION-PS-LKO-001",SECURED_IN_MALKHANA,2026-01-22T07:53:35.153284
EVID-000841,CASE-000041,FIR/2026/PS-MUM-001/00041,EVID/00041/0841,FORENSIC,Bullet casing recovered from floor,OFFICER-00018,"Near Landmark 89, Colaba, Mumbai City","Locker-24, Malkhana STATION-PS-MUM-001",SECURED_IN_MALKHANA,2026-04-30T06:53:35.153331
EVID-000842,CASE-000042,FIR/2026/PS-MUM-002/00042,EVID/00042/0842,DOCUMENTARY,Forged land deed agreement,OFFICER-00004,"Near Landmark 19, Bandra West, Mumbai Suburban","Locker-38, Malkhana STATION-PS-MUM-002",SECURED_IN_MALKHANA,2025-10-26T08:53:35.153376
EVID-000843,CASE-000043,FIR/2026/PS-PUN-001/00043,EVID/00043/0843,PHYSICAL,Latent fingerprint lifted from door handle,OFFICER-00034,"Near Landmark 39, Shivajinagar, Pune","Locker-23, Malkhana STATION-PS-PUN-001",SECURED_IN_MALKHANA,2025-09-19T06:53:35.153497
EVID-000844,CASE-000044,FIR/2026/PS-DEL-001/00044,EVID/00044/0844,PHYSICAL,Fabric sample with blood stains,OFFICER-00010,"Near Landmark 40, Connaught Place, Central Delhi","Locker-28, Malkhana STATION-PS-DEL-001",SECURED_IN_MALKHANA,2025-04-21T16:53:35.153551
EVID-000845,CASE-000045,FIR/2026/PS-DEL-002/00045,EVID/00045/0845,FORENSIC,Chemical reagent sample,OFFICER-00024,"Near Landmark 65, Hauz Khas, South Delhi","Locker-13, Malkhana STATION-PS-DEL-002",SECURED_IN_MALKHANA,2025-11-12T10:53:35.153586
EVID-000846,CASE-000046,FIR/2025/PS-BLR-001/00046,EVID/00046/0846,DOCUMENTARY,Fraudulent cheque leaf,OFFICER-00036,"Near Landmark 74, Koramangala 1st to 8th Blocks, Bangalore Urban","Locker-35, Malkhana STATION-PS-BLR-001",SECURED_IN_MALKHANA,2026-07-14T12:53:35.153621
EVID-000847,CASE-000047,FIR/2024/PS-BLR-002/00047,EVID/00047/0847,DOCUMENTARY,Forged land deed agreement,OFFICER-00033,"Near Landmark 11, Indiranagar 1st and 2nd Stages, Bangalore Urban","Locker-2, Malkhana STATION-PS-BLR-002",SECURED_IN_MALKHANA,2025-08-11T17:53:35.153676
EVID-000848,CASE-000048,FIR/2025/PS-CHE-001/00048,EVID/00048/0848,DOCUMENTARY,Forged land deed agreement,OFFICER-00005,"Near Landmark 81, T. Nagar, Chennai","Locker-37, Malkhana STATION-PS-CHE-001",SECURED_IN_MALKHANA,2026-06-13T11:53:35.153732
EVID-000849,CASE-000049,FIR/2026/PS-CHE-002/00049,EVID/00049/0849,DOCUMENTARY,Forged land deed agreement,OFFICER-00050,"Near Landmark 44, Mylapore, Chennai","Locker-11, Malkhana STATION-PS-CHE-002",SECURED_IN_MALKHANA,2025-08-20T15:53:35.153764
EVID-000850,CASE-000050,FIR/2025/PS-LKO-001/00050,EVID/00050/0850,FORENSIC,Toxicology vial from post-mortem,OFFICER-00035,"Near Landmark 51, Hazratganj, Lucknow","Locker-38, Malkhana STATION-PS-LKO-001",SECURED_IN_MALKHANA,2025-05-21T02:53:35.153793
EVID-000851,CASE-000051,FIR/2026/PS-MUM-001/00051,EVID/00051/0851,BIOLOGICAL,Blood sample collected from vehicle seat,OFFICER-00009,"Near Landmark 85, Colaba, Mumbai City","Locker-15, Malkhana STATION-PS-MUM-001",SECURED_IN_MALKHANA,2025-08-29T02:53:35.153821
EVID-000852,CASE-000052,FIR/2026/PS-MUM-002/00052,EVID/00052/0852,DOCUMENTARY,Fraudulent cheque leaf,OFFICER-00030,"Near Landmark 61, Bandra West, Mumbai Suburban","Locker-45, Malkhana STATION-PS-MUM-002",SECURED_IN_MALKHANA,2025-06-08T14:53:35.153848
EVID-000853,CASE-000053,FIR/2026/PS-PUN-001/00053,EVID/00053/0853,FORENSIC,Bullet casing recovered from floor,OFFICER-00010,"Near Landmark 76, Shivajinagar, Pune","Locker-26, Malkhana STATION-PS-PUN-001",SECURED_IN_MALKHANA,2026-08-18T19:53:35.153876
EVID-000854,CASE-000054,FIR/2026/PS-DEL-001/00054,EVID/00054/0854,DOCUMENTARY,Fake identification card,OFFICER-00014,"Near Landmark 71, Connaught Place, Central Delhi","Locker-21, Malkhana STATION-PS-DEL-001",SECURED_IN_MALKHANA,2026-08-17T15:53:35.153904
EVID-000855,CASE-000055,FIR/2025/PS-DEL-002/00055,EVID/00055/0855,BIOLOGICAL,Blood sample collected from vehicle seat,OFFICER-00009,"Near Landmark 57, Hauz Khas, South Delhi","Locker-49, Malkhana STATION-PS-DEL-002",SECURED_IN_MALKHANA,2026-05-07T14:53:35.153930
EVID-000856,CASE-000056,FIR/2026/PS-BLR-001/00056,EVID/00056/0856,FORENSIC,Toxicology vial from post-mortem,OFFICER-00046,"Near Landmark 85, Koramangala 1st to 8th Blocks, Bangalore Urban","Locker-49, Malkhana STATION-PS-BLR-001",SECURED_IN_MALKHANA,2025-09-19T07:53:35.153956
EVID-000857,CASE-000057,FIR/2024/PS-BLR-002/00057,EVID/00057/0857,BIOLOGICAL,Hair strand recovered from crime scene,OFFICER-00013,"Near Landmark 37, Indiranagar 1st and 2nd Stages, Bangalore Urban","Locker-18, Malkhana STATION-PS-BLR-002",SECURED_IN_MALKHANA,2025-11-30T03:53:35.153988
EVID-000858,CASE-000058,FIR/2026/PS-CHE-001/00058,EVID/00058/0858,PHYSICAL,Recovered sharp metallic tool,OFFICER-00045,"Near Landmark 75, T. Nagar, Chennai","Locker-49, Malkhana STATION-PS-CHE-001",SECURED_IN_MALKHANA,2025-12-02T05:53:35.154017
EVID-000859,CASE-000059,FIR/2026/PS-CHE-002/00059,EVID/00059/0859,PHYSICAL,Latent fingerprint lifted from door handle,OFFICER-00025,"Near Landmark 73, Mylapore, Chennai","Locker-16, Malkhana STATION-PS-CHE-002",SECURED_IN_MALKHANA,2026-07-27T22:53:35.154045
EVID-000860,CASE-000060,FIR/2024/PS-LKO-001/00060,EVID/00060/0860,BIOLOGICAL,Blood sample collected from vehicle seat,OFFICER-00027,"Near Landmark 25, Hazratganj, Lucknow","Locker-8, Malkhana STATION-PS-LKO-001",SECURED_IN_MALKHANA,2026-02-12T04:53:35.154070
EVID-000861,CASE-000061,FIR/2024/PS-MUM-001/00061,EVID/00061/0861,PHYSICAL,Fabric sample with blood stains,OFFICER-00014,"Near Landmark 49, Colaba, Mumbai City","Locker-35, Malkhana STATION-PS-MUM-001",SECURED_IN_MALKHANA,2026-05-01T04:53:35.154115
EVID-000862,CASE-000062,FIR/2025/PS-MUM-002/00062,EVID/00062/0862,PHYSICAL,Fabric sample with blood stains,OFFICER-00042,"Near Landmark 21, Bandra West, Mumbai Suburban","Locker-14, Malkhana STATION-PS-MUM-002",SECURED_IN_MALKHANA,2025-08-08T17:53:35.154143
EVID-000863,CASE-000063,FIR/2024/PS-PUN-001/00063,EVID/00063/0863,DOCUMENTARY,Forged land deed agreement,OFFICER-00050,"Near Landmark 46, Shivajinagar, Pune","Locker-36, Malkhana STATION-PS-PUN-001",SECURED_IN_MALKHANA,2025-06-30T02:53:35.154185
EVID-000864,CASE-000064,FIR/2024/PS-DEL-001/00064,EVID/00064/0864,DIGITAL,Hard disk drive containing DVR recording,OFFICER-00020,"Near Landmark 24, Connaught Place, Central Delhi","Locker-20, Malkhana STATION-PS-DEL-001",SECURED_IN_MALKHANA,2025-06-17T00:53:35.154231
EVID-000865,CASE-000065,FIR/2024/PS-DEL-002/00065,EVID/00065/0865,DOCUMENTARY,Fraudulent cheque leaf,OFFICER-00024,"Near Landmark 26, Hauz Khas, South Delhi","Locker-30, Malkhana STATION-PS-DEL-002",SECURED_IN_MALKHANA,2025-07-19T15:53:35.154260
EVID-000866,CASE-000066,FIR/2024/PS-BLR-001/00066,EVID/00066/0866,PHYSICAL,Latent fingerprint lifted from door handle,OFFICER-00015,"Near Landmark 13, Koramangala 1st to 8th Blocks, Bangalore Urban","Locker-45, Malkhana STATION-PS-BLR-001",SECURED_IN_MALKHANA,2026-07-20T18:53:35.154300
EVID-000867,CASE-000067,FIR/2025/PS-BLR-002/00067,EVID/00067/0867,DOCUMENTARY,Handwritten ransom note,OFFICER-00040,"Near Landmark 75, Indiranagar 1st and 2nd Stages, Bangalore Urban","Locker-38, Malkhana STATION-PS-BLR-002",SECURED_IN_MALKHANA,2026-08-08T14:53:35.154333
EVID-000868,CASE-000068,FIR/2025/PS-CHE-001/00068,EVID/00068/0868,PHYSICAL,Recovered sharp metallic tool,OFFICER-00023,"Near Landmark 67, T. Nagar, Chennai","Locker-41, Malkhana STATION-PS-CHE-001",SECURED_IN_MALKHANA,2026-05-24T02:53:35.154362
EVID-000869,CASE-000069,FIR/2026/PS-CHE-002/00069,EVID/00069/0869,FORENSIC,Toxicology vial from post-mortem,OFFICER-00035,"Near Landmark 38, Mylapore, Chennai","Locker-7, Malkhana STATION-PS-CHE-002",SECURED_IN_MALKHANA,2025-11-03T06:53:35.154388
EVID-000870,CASE-000070,FIR/2026/PS-LKO-001/00070,EVID/00070/0870,PHYSICAL,Shoe impression cast,OFFICER-00047,"Near Landmark 44, Hazratganj, Lucknow","Locker-22, Malkhana STATION-PS-LKO-001",SECURED_IN_MALKHANA,2025-07-13T13:53:35.154413
EVID-000871,CASE-000071,FIR/2025/PS-MUM-001/00071,EVID/00071/0871,FORENSIC,Bullet casing recovered from floor,OFFICER-00030,"Near Landmark 21, Colaba, Mumbai City","Locker-39, Malkhana STATION-PS-MUM-001",SECURED_IN_MALKHANA,2025-12-14T19:53:35.154441
EVID-000872,CASE-000072,FIR/2025/PS-MUM-002/00072,EVID/00072/0872,PHYSICAL,Fabric sample with blood stains,OFFICER-00013,"Near Landmark 85, Bandra West, Mumbai Suburban","Locker-17, Malkhana STATION-PS-MUM-002",SECURED_IN_MALKHANA,2025-11-09T02:53:35.154467
EVID-000873,CASE-000073,FIR/2026/PS-PUN-001/00073,EVID/00073/0873,DOCUMENTARY,Forged land deed agreement,OFFICER-00044,"Near Landmark 97, Shivajinagar, Pune","Locker-8, Malkhana STATION-PS-PUN-001",SECURED_IN_MALKHANA,2025-08-15T07:53:35.154492
EVID-000874,CASE-000074,FIR/2025/PS-DEL-001/00074,EVID/00074/0874,PHYSICAL,Fabric sample with blood stains,OFFICER-00044,"Near Landmark 12, Connaught Place, Central Delhi","Locker-18, Malkhana STATION-PS-DEL-001",SECURED_IN_MALKHANA,2025-11-29T04:53:35.154520
EVID-000875,CASE-000075,FIR/2025/PS-DEL-002/00075,EVID/00075/0875,BIOLOGICAL,Swab sample for DNA profiling,OFFICER-00001,"Near Landmark 95, Hauz Khas, South Delhi","Locker-4, Malkhana STATION-PS-DEL-002",SECURED_IN_MALKHANA,2025-06-29T14:53:35.154550
EVID-000876,CASE-000076,FIR/2024/PS-BLR-001/00076,EVID/00076/0876,BIOLOGICAL,Blood sample collected from vehicle seat,OFFICER-00020,"Near Landmark 42, Koramangala 1st to 8th Blocks, Bangalore Urban","Locker-30, Malkhana STATION-PS-BLR-001",SECURED_IN_MALKHANA,2025-05-02T01:53:35.154574
EVID-000877,CASE-000077,FIR/2026/PS-BLR-002/00077,EVID/00077/0877,BIOLOGICAL,Swab sample for DNA profiling,OFFICER-00004,"Near Landmark 65, Indiranagar 1st and 2nd Stages, Bangalore Urban","Locker-16, Malkhana STATION-PS-BLR-002",SECURED_IN_MALKHANA,2025-07-18T08:53:35.154598
