case_id,fir_number,police_station_id,station_name,assigned_officer_id,assigned_officer_name,assigned_officer_badge,crime_category,crime_type,priority,current_status,registration_date,incident_date,location,short_summary,detailed_description,applicable_sections,source,created_by,updated_by,created_at,updated_at
CASE-000050,FIR/2025/PS-LKO-001/00050,STATION-PS-LKO-001,Hazratganj Police Station,OFFICER-00020,Rajesh Dubey,BADGE-LUC-1020,NON_COGNIZABLE,MISSING_PERSON,LOW,UNDER_INVESTIGATION,2025-05-21T02:53:35.153793,2025-05-20T16:53:35.153793,"{""address"": ""Near Landmark 51, Hazratganj, Lucknow"", ""latitude"": 26.852583218340783, ""longitude"": 80.95089030045155, ""district"": ""Lucknow"", ""state"": ""Uttar Pradesh""}",Incident of missing person reported near Lucknow.,Detailed police incident report regarding MISSING_PERSON under jurisdiction of Hazratganj Police Station. Investigation initiated by Officer Rajesh Dubey (BADGE-LUC-1020). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""363"", ""description"": ""Punishment for kidnapping""}, {""act"": ""BNS"", ""section"": ""137"", ""description"": ""Kidnapping""}]",WALK_IN,USER-00206,USER-00206,2025-05-21T02:53:35.153793,2026-08-31T18:53:35.153807
CASE-000051,FIR/2026/PS-MUM-001/00051,STATION-PS-MUM-001,Colaba Police Station,OFFICER-00001,Sanjay Bhatt,BADGE-MUM-1001,NON_COGNIZABLE,ACCIDENT,MEDIUM,COURT_PROCEEDINGS,2025-08-29T02:53:35.153821,2025-08-28T14:53:35.153821,"{""address"": ""Near Landmark 85, Colaba, Mumbai City"", ""latitude"": 18.90706836479367, ""longitude"": 72.82619395839609, ""district"": ""Mumbai City"", ""state"": ""Maharashtra""}",Incident of accident reported near Mumbai City.,Detailed police incident report regarding ACCIDENT under jurisdiction of Colaba Police Station. Investigation initiated by Officer Sanjay Bhatt (BADGE-MUM-1001). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""279"", ""description"": ""Rash driving or riding on a public way""}, {""act"": ""IPC"", ""section"": ""304A"", ""description"": ""Causing death by negligence""}, {""act"": ""Motor Vehicles Act"", ""section"": ""184"", ""description"": ""Dangerous driving""}]",WALK_IN,USER-00220,USER-00220,2025-08-29T02:53:35.153821,2026-08-31T18:53:35.153835
CASE-000052,FIR/2026/PS-MUM-002/00052,STATION-PS-MUM-002,Bandra Police Station,OFFICER-00032,Umesh Deshmukh,BADGE-MUM-1032,NON_COGNIZABLE,OTHERS,MEDIUM,UNDER_INVESTIGATION,2025-06-08T14:53:35.153848,2025-06-07T07:53:35.153848,"{""address"": ""Near Landmark 61, Bandra West, Mumbai Suburban"", ""latitude"": 19.075402386643685, ""longitude"": 72.81496718099878, ""district"": ""Mumbai Suburban"", ""state"": ""Maharashtra""}",Incident of others reported near Mumbai Suburban.,Detailed police incident report regarding OTHERS under jurisdiction of Bandra Police Station. Investigation initiated by Officer Umesh Deshmukh (BADGE-MUM-1032). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""506"", ""description"": ""Punishment for criminal intimidation""}]",WALK_IN,USER-00214,USER-00214,2025-06-08T14:53:35.153848,2026-08-31T18:53:35.153861
CASE-000053,FIR/2026/PS-PUN-001/00053,STATION-PS-PUN-001,Shivajinagar Police Station,OFFICER-00023,Yashoda Das,BADGE-PUN-1023,NON_COGNIZABLE,CYBER_CRIME,LOW,UNDER_INVESTIGATION,2026-08-18T19:53:35.153876,2026-08-18T13:53:35.153876,"{""address"": ""Near Landmark 76, Shivajinagar, Pune"", ""latitude"": 18.528003560519505, ""longitude"": 73.83467259435994, ""district"": ""Pune"", ""state"": ""Maharashtra""}",Incident of cyber crime reported near Pune.,Detailed police incident report regarding CYBER_CRIME under jurisdiction of Shivajinagar Police Station. Investigation initiated by Officer Yashoda Das (BADGE-PUN-1023). Initial inspection conducted at incident location.,"[{""act"": ""IT Act"", ""section"": ""66C"", ""description"": ""Punishment for identity theft""}, {""act"": ""IT Act"", ""section"": ""66D"", ""description"": ""Punishment for cheating by personation using computer resource""}, {""act"": ""IPC"", ""section"": ""420"", ""description"": ""Cheating and dishonestly inducing delivery of property""}]",WALK_IN,USER-00025,USER-00025,2026-08-18T19:53:35.153876,2026-08-31T18:53:35.153890
CASE-000054,FIR/2026/PS-DEL-001/00054,STATION-PS-DEL-001,Connaught Place Police Station,OFFICER-00014,Sachin Bhatt,BADGE-CEN-1014,NON_COGNIZABLE,MISSING_PERSON,MEDIUM,CHARGE_SHEET_FILED,2026-08-17T15:53:35.153904,2026-08-16T12:53:35.153904,"{""address"": ""Near Landmark 71, Connaught Place, Central Delhi"", ""latitude"": 28.63672289028907, ""longitude"": 77.23131778074459, ""district"": ""Central Delhi"", ""state"": ""Delhi""}",Incident of missing person reported near Central Delhi.,Detailed police incident report regarding MISSING_PERSON under jurisdiction of Connaught Place Police Station. Investigation initiated by Officer Sachin Bhatt (BADGE-CEN-1014). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""363"", ""description"": ""Punishment for kidnapping""}, {""act"": ""BNS"", ""section"": ""137"", ""description"": ""Kidnapping""}]",WALK_IN,USER-00212,USER-00212,2026-08-17T15:53:35.153904,2026-08-31T18:53:35.153916
CASE-000055,FIR/2025/PS-DEL-002/00055,STATION-PS-DEL-002,Hauz Khas Police Station,OFFICER-00005,Vivek Chatterjee,BADGE-SOU-1005,NON_COGNIZABLE,ACCIDENT,MEDIUM,UNDER_INVESTIGATION,2026-05-07T14:53:35.153930,2026-05-06T15:53:35.153930,"{""address"": ""Near Landmark 57, Hauz Khas, South Delhi"", ""latitude"": 28.564808757693807, ""longitude"": 77.18152564238108, ""district"": ""South Delhi"", ""state"": ""Delhi""}",Incident of accident reported near South Delhi.,Detailed police incident report regarding ACCIDENT under jurisdiction of Hauz Khas Police Station. Investigation initiated by Officer Vivek Chatterjee (BADGE-SOU-1005). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""279"", ""description"": ""Rash driving or riding on a public way""}, {""act"": ""IPC"", ""section"": ""304A"", ""description"": ""Causing death by negligence""}, {""act"": ""Motor Vehicles Act"", ""section"": ""184"", ""description"": ""Dangerous driving""}]",WALK_IN,USER-00004,USER-00004,2026-05-07T14:53:35.153930,2026-08-31T18:53:35.153942
CASE-000056,FIR/2026/PS-BLR-001/00056,STATION-PS-BLR-001,Koramangala Police Station,OFFICER-00026,Vandana Chauhan,BADGE-BAN-1026,NON_COGNIZABLE,CYBER_CRIME,MEDIUM,REGISTERED,2025-09-19T07:53:35.153956,2025-09-18T16:53:35.153956,"{""address"": ""Near Landmark 85, Koramangala 1st to 8th Blocks, Bangalore Urban"", ""latitude"": 12.934451031952094, ""longitude"": 77.62234744855067, ""district"": ""Bangalore Urban"", ""state"": ""Karnataka""}",Incident of cyber crime reported near Bangalore Urban.,Detailed police incident report regarding CYBER_CRIME under jurisdiction of Koramangala Police Station. Investigation initiated by Officer Vandana Chauhan (BADGE-BAN-1026). Initial inspection conducted at incident location.,"[{""act"": ""IT Act"", ""section"": ""66C"", ""description"": ""Punishment for identity theft""}, {""act"": ""IT Act"", ""section"": ""66D"", ""description"": ""Punishment for cheating by personation using computer resource""}, {""act"": ""IPC"", ""section"": ""420"", ""description"": ""Cheating and dishonestly inducing delivery of property""}]",WALK_IN,USER-00220,USER-00220,2025-09-19T07:53:35.153956,2026-08-31T18:53:35.153973
CASE-000057,FIR/2024/PS-BLR-002/00057,STATION-PS-BLR-002,Indiranagar Police Station,OFFICER-00007,Ravi Singh,BADGE-BAN-1007,COGNIZABLE,ROBBERY,LOW,CHARGE_SHEET_FILED,2025-11-30T03:53:35.153988,2025-11-28T08:53:35.153988,"{""address"": ""Near Landmark 37, Indiranagar 1st and 2nd Stages, Bangalore Urban"", ""latitude"": 12.969629580429473, ""longitude"": 77.64809800827807, ""district"": ""Bangalore Urban"", ""state"": ""Karnataka""}",Incident of robbery reported near Bangalore Urban.,Detailed police incident report regarding ROBBERY under jurisdiction of Indiranagar Police Station. Investigation initiated by Officer Ravi Singh (BADGE-BAN-1007). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""392"", ""description"": ""Punishment for robbery""}, {""act"": ""IPC"", ""section"": ""395"", ""description"": ""Punishment for dacoity""}, {""act"": ""BNS"", ""section"": ""309"", ""description"": ""Robbery""}]",WALK_IN,USER-00226,USER-00226,2025-11-30T03:53:35.153988,2026-08-31T18:53:35.154002
CASE-000058,FIR/2026/PS-CHE-001/00058,STATION-PS-CHE-001,T. Nagar Police Station,OFFICER-00038,Mohan Mehta,BADGE-CHE-1038,COGNIZABLE,ROBBERY,CRITICAL,CHARGE_SHEET_FILED,2025-12-02T05:53:35.154017,2025-12-01T13:53:35.154017,"{""address"": ""Near Landmark 75, T. Nagar, Chennai"", ""latitude"": 13.055669861669244, ""longitude"": 80.2347627628679, ""district"": ""Chennai"", ""state"": ""Tamil Nadu""}",Incident of robbery reported near Chennai.,Detailed police incident report regarding ROBBERY under jurisdiction of T. Nagar Police Station. Investigation initiated by Officer Mohan Mehta (BADGE-CHE-1038). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""392"", ""description"": ""Punishment for robbery""}, {""act"": ""IPC"", ""section"": ""395"", ""description"": ""Punishment for dacoity""}, {""act"": ""BNS"", ""section"": ""309"", ""description"": ""Robbery""}]",WALK_IN,USER-00039,USER-00039,2025-12-02T05:53:35.154017,2026-08-31T18:53:35.154031
CASE-000059,FIR/2026/PS-CHE-002/00059,STATION-PS-CHE-002,Mylapore Police Station,OFFICER-00039,Deepa Saxena,BADGE-CHE-1039,NON_COGNIZABLE,FRAUD,HIGH,CHARGE_SHEET_FILED,2026-07-27T22:53:35.154045,2026-07-26T16:53:35.154045,"{""address"": ""Near Landmark 73, Mylapore, Chennai"", ""latitude"": 13.027930368734584, ""longitude"": 80.25933086026453, ""district"": ""Chennai"", ""state"": ""Tamil Nadu""}",Incident of fraud reported near Chennai.,Detailed police incident report regarding FRAUD under jurisdiction of Mylapore Police Station. Investigation initiated by Officer Deepa Saxena (BADGE-CHE-1039). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""420"", ""description"": ""Cheating and dishonestly inducing delivery of property""}, {""act"": ""IPC"", ""section"": ""406"", ""description"": ""Punishment for criminal breach of trust""}, {""act"": ""IPC"", ""section"": ""468"", ""description"": ""Forgery for purpose of cheating""}]",WALK_IN,USER-00024,USER-00024,2026-07-27T22:53:35.154045,2026-08-31T18:53:35.154058
CASE-000060,FIR/2024/PS-LKO-001/00060,STATION-PS-LKO-001,Hazratganj Police Station,OFFICER-00030,Yogesh Mishra,BADGE-LUC-1030,NON_COGNIZABLE,CYBER_CRIME,CRITICAL,UNDER_INVESTIGATION,2026-02-12T04:53:35.154070,2026-02-10T15:53:35.154070,"{""address"": ""Near Landmark 25, Hazratganj, Lucknow"", ""latitude"": 26.83948022983446, ""longitude"": 80.92919494649855, ""district"": ""Lucknow"", ""state"": ""Uttar Pradesh""}",Incident of cyber crime reported near Lucknow.,Detailed police incident report regarding CYBER_CRIME under jurisdiction of Hazratganj Police Station. Investigation initiated by Officer Yogesh Mishra (BADGE-LUC-1030). Initial inspection conducted at incident location.,"[{""act"": ""IT Act"", ""section"": ""66C"", ""description"": ""Punishment for identity theft""}, {""act"": ""IT Act"", ""section"": ""66D"", ""description"": ""Punishment for cheating by personation using computer resource""}, {""act"": ""IPC"", ""section"": ""420"", ""description"": ""Cheating and dishonestly inducing delivery of property""}]",WALK_IN,USER-00047,USER-00047,2026-02-12T04:53:35.154070,2026-08-31T18:53:35.154099
CASE-000061,FIR/2024/PS-MUM-001/00061,STATION-PS-MUM-001,Colaba Police Station,OFFICER-00031,Uma Naidu,BADGE-MUM-1031,COGNIZABLE,ROBBERY,CRITICAL,UNDER_INVESTIGATION,2026-05-01T04:53:35.154115,2026-04-30T10:53:35.154115,"{""address"": ""Near Landmark 49, Colaba, Mumbai City"", ""latitude"": 18.92604942849199, ""longitude"": 72.83025971798315, ""district"": ""Mumbai City"", ""state"": ""Maharashtra""}",Incident of robbery reported near Mumbai City.,Detailed police incident report regarding ROBBERY under jurisdiction of Colaba Police Station. Investigation initiated by Officer Uma Naidu (BADGE-MUM-1031). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""392"", ""description"": ""Punishment for robbery""}, {""act"": ""IPC"", ""section"": ""395"", ""description"": ""Punishment for dacoity""}, {""act"": ""BNS"", ""section"": ""309"", ""description"": ""Robbery""}]",WALK_IN,USER-00044,USER-00044,2026-05-01T04:53:35.154115,2026-08-31T18:53:35.154129
CASE-000062,FIR/2025/PS-MUM-002/00062,STATION-PS-MUM-002,Bandra Police Station,OFFICER-00012,Pankaj Banerjee,BADGE-MUM-1012,NON_COGNIZABLE,ASSAULT,MEDIUM,UNDER_INVESTIGATION,2025-08-08T17:53:35.154143,2025-08-08T11:53:35.154143,"{""address"": ""Near Landmark 21, Bandra West, Mumbai Suburban"", ""latitude"": 19.076369338450032, ""longitude"": 72.84094026137812, ""district"": ""Mumbai Suburban"", ""state"": ""Maharashtra""}",Incident of assault reported near Mumbai Suburban.,Detailed police incident report regarding ASSAULT under jurisdiction of Bandra Police Station. Investigation initiated by Officer Pankaj Banerjee (BADGE-MUM-1012). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""323"", ""description"": ""Punishment for voluntarily causing hurt""}, {""act"": ""IPC"", ""section"": ""325"", ""description"": ""Punishment for voluntarily causing grievous hurt""}, {""act"": ""BNS"", ""section"": ""115"", ""description"": ""Voluntarily causing hurt""}]",WALK_IN,USER-00044,USER-00044,2025-08-08T17:53:35.154143,2026-08-31T18:53:35.154160
CASE-000063,FIR/2024/PS-PUN-001/00063,STATION-PS-PUN-001,Shivajinagar Police Station,OFFICER-00013,Suman Iyer,BADGE-PUN-1013,NON_COGNIZABLE,THEFT,LOW,UNDER_INVESTIGATION,2025-06-30T02:53:35.154185,2025-06-28T13:53:35.154185,"{""address"": ""Near Landmark 46, Shivajinagar, Pune"", ""latitude"": 18.51381863362347, ""longitude"": 73.84636327208496, ""district"": ""Pune"", ""state"": ""Maharashtra""}",Incident of theft reported near Pune.,Detailed police incident report regarding THEFT under jurisdiction of Shivajinagar Police Station. Investigation initiated by Officer Suman Iyer (BADGE-PUN-1013). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""378"", ""description"": ""Theft""}, {""act"": ""IPC"", ""section"": ""379"", ""description"": ""Punishment for theft""}, {""act"": ""IPC"", ""section"": ""380"", ""description"": ""Theft in dwelling house""}, {""act"": ""BNS"", ""section"": ""303"", ""description"": ""Theft and aggravated theft""}]",WALK_IN,USER-00218,USER-00218,2025-06-30T02:53:35.154185,2026-08-31T18:53:35.154210
CASE-000064,FIR/2024/PS-DEL-001/00064,STATION-PS-DEL-001,Connaught Place Police Station,OFFICER-00014,Sachin Bhatt,BADGE-CEN-1014,NON_COGNIZABLE,FINANCIAL_CRIME,LOW,UNDER_INVESTIGATION,2025-06-17T00:53:35.154231,2025-06-16T15:53:35.154231,"{""address"": ""Near Landmark 24, Connaught Place, Central Delhi"", ""latitude"": 28.617508631629374, ""longitude"": 77.19861476299192, ""district"": ""Central Delhi"", ""state"": ""Delhi""}",Incident of financial crime reported near Central Delhi.,Detailed police incident report regarding FINANCIAL_CRIME under jurisdiction of Connaught Place Police Station. Investigation initiated by Officer Sachin Bhatt (BADGE-CEN-1014). Initial inspection conducted at incident location.,"[{""act"": ""PMLA"", ""section"": ""3"", ""description"": ""Offence of money-laundering""}, {""act"": ""IPC"", ""section"": ""409"", ""description"": ""Criminal breach of trust by public servant, banker, merchant or agent""}]",WALK_IN,USER-00046,USER-00046,2025-06-17T00:53:35.154231,2026-08-31T18:53:35.154246
CASE-000065,FIR/2024/PS-DEL-002/00065,STATION-PS-DEL-002,Hauz Khas Police Station,OFFICER-00025,Pankaj Verma,BADGE-SOU-1025,NON_COGNIZABLE,OTHERS,LOW,CLOSED_SOLVED,2025-07-19T15:53:35.154260,2025-07-17T16:53:35.154260,"{""address"": ""Near Landmark 26, Hauz Khas, South Delhi"", ""latitude"": 28.55739249953759, ""longitude"": 77.20032886278769, ""district"": ""South Delhi"", ""state"": ""Delhi""}",Incident of others reported near South Delhi.,Detailed police incident report regarding OTHERS under jurisdiction of Hauz Khas Police Station. Investigation initiated by Officer Pankaj Verma (BADGE-SOU-1025). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""506"", ""description"": ""Punishment for criminal intimidation""}]",WALK_IN,USER-00233,USER-00233,2025-07-19T15:53:35.154260,2026-08-31T18:53:35.154281
CASE-000066,FIR/2024/PS-BLR-001/00066,STATION-PS-BLR-001,Koramangala Police Station,OFFICER-00026,Vandana Chauhan,BADGE-BAN-1026,NON_COGNIZABLE,CYBER_CRIME,HIGH,REGISTERED,2026-07-20T18:53:35.154300,2026-07-20T14:53:35.154300,"{""address"": ""Near Landmark 13, Koramangala 1st to 8th Blocks, Bangalore Urban"", ""latitude"": 12.923482766577894, ""longitude"": 77.62246432888925, ""district"": ""Bangalore Urban"", ""state"": ""Karnataka""}",Incident of cyber crime reported near Bangalore Urban.,Detailed police incident report regarding CYBER_CRIME under jurisdiction of Koramangala Police Station. Investigation initiated by Officer Vandana Chauhan (BADGE-BAN-1026). Initial inspection conducted at incident location.,"[{""act"": ""IT Act"", ""section"": ""66C"", ""description"": ""Punishment for identity theft""}, {""act"": ""IT Act"", ""section"": ""66D"", ""description"": ""Punishment for cheating by personation using computer resource""}, {""act"": ""IPC"", ""section"": ""420"", ""description"": ""Cheating and dishonestly inducing delivery of property""}]",WALK_IN,USER-00044,USER-00044,2026-07-20T18:53:35.154300,2026-08-31T18:53:35.154315
CASE-000067,FIR/2025/PS-BLR-002/00067,STATION-PS-BLR-002,Indiranagar Police Station,OFFICER-00007,Ravi Singh,BADGE-BAN-1007,NON_COGNIZABLE,DRUG_OFFENCE,CRITICAL,UNDER_INVESTIGATION,2026-08-08T14:53:35.154333,2026-08-07T12:53:35.154333,"{""address"": ""Near Landmark 75, Indiranagar 1st and 2nd Stages, Bangalore Urban"", ""latitude"": 12.963264476464616, ""longitude"": 77.65833196161867, ""district"": ""Bangalore Urban"", ""state"": ""Karnataka""}",Incident of drug offence reported near Bangalore Urban.,Detailed police incident report regarding DRUG_OFFENCE under jurisdiction of Indiranagar Police Station. Investigation initiated by Officer Ravi Singh (BADGE-BAN-1007). Initial inspection conducted at incident location.,"[{""act"": ""NDPS Act"", ""section"": ""20"", ""description"": ""Punishment for contravention in relation to cannabis""}, {""act"": ""NDPS Act"", ""section"": ""21"", ""description"": ""Punishment for contravention in relation to manufactured drugs""}]",WALK_IN,USER-00237,USER-00237,2026-08-08T14:53:35.154333,2026-08-31T18:53:35.154348
CASE-000068,FIR/2025/PS-CHE-001/00068,STATION-PS-CHE-001,T. Nagar Police Station,OFFICER-00048,Aarti Malik,BADGE-CHE-1048,NON_COGNIZABLE,ACCIDENT,MEDIUM,CLOSED_SOLVED,2026-05-24T02:53:35.154362,2026-05-23T17:53:35.154362,"{""address"": ""Near Landmark 67, T. Nagar, Chennai"", ""latitude"": 13.059218163697286, ""longitude"": 80.24850720222796, ""district"": ""Chennai"", ""state"": ""Tamil Nadu""}",Incident of accident reported near Chennai.,Detailed police incident report regarding ACCIDENT under jurisdiction of T. Nagar Police Station. Investigation initiated by Officer Aarti Malik (BADGE-CHE-1048). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""279"", ""description"": ""Rash driving or riding on a public way""}, {""act"": ""IPC"", ""section"": ""304A"", ""description"": ""Causing death by negligence""}, {""act"": ""Motor Vehicles Act"", ""section"": ""184"", ""description"": ""Dangerous driving""}]",WALK_IN,USER-00220,USER-00220,2026-05-24T02:53:35.154362,2026-08-31T18:53:35.154375
CASE-000069,FIR/2026/PS-CHE-002/00069,STATION-PS-CHE-002,Mylapore Police Station,OFFICER-00049,Arjun Iyer,BADGE-CHE-1049,COGNIZABLE,ROBBERY,MEDIUM,CLOSED_SOLVED,2025-11-03T06:53:35.154388,2025-11-01T10:53:35.154388,"{""address"": ""Near Landmark 38, Mylapore, Chennai"", ""latitude"": 13.048331148647968, ""longitude"": 80.2492972175629, ""district"": ""Chennai"", ""state"": ""Tamil Nadu""}",Incident of robbery reported near Chennai.,Detailed police incident report regarding ROBBERY under jurisdiction of Mylapore Police Station. Investigation initiated by Officer Arjun Iyer (BADGE-CHE-1049). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""392"", ""description"": ""Punishment for robbery""}, {""act"": ""IPC"", ""section"": ""395"", ""description"": ""Punishment for dacoity""}, {""act"": ""BNS"", ""section"": ""309"", ""description"": ""Robbery""}]",WALK_IN,USER-00205,USER-00205,2025-11-03T06:53:35.154388,2026-08-31T18:53:35.154400
CASE-000070,FIR/2026/PS-LKO-001/00070,STATION-PS-LKO-001,Hazratganj Police Station,OFFICER-00010,Savita Kulkarni,BADGE-LUC-1010,COGNIZABLE,ROBBERY,HIGH,UNDER_INVESTIGATION,2025-07-13T13:53:35.154413,2025-07-13T11:53:35.154413,"{""address"": ""Near Landmark 44, Hazratganj, Lucknow"", ""latitude"": 26.841168248467845, ""longitude"": 80.92611553153934, ""district"": ""Lucknow"", ""state"": ""Uttar Pradesh""}",Incident of robbery reported near Lucknow.,Detailed police incident report regarding ROBBERY under jurisdiction of Hazratganj Police Station. Investigation initiated by Officer Savita Kulkarni (BADGE-LUC-1010). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""392"", ""description"": ""Punishment for robbery""}, {""act"": ""IPC"", ""section"": ""395"", ""description"": ""Punishment for dacoity""}, {""act"": ""BNS"", ""section"": ""309"", ""description"": ""Robbery""}]",WALK_IN,USER-00030,USER-00030,2025-07-13T13:53:35.154413,2026-08-31T18:53:35.154428
CASE-000071,FIR/2025/PS-MUM-001/00071,STATION-PS-MUM-001,Colaba Police Station,OFFICER-00021,Rakesh Tiwari,BADGE-MUM-1021,NON_COGNIZABLE,FRAUD,LOW,UNDER_INVESTIGATION,2025-12-14T19:53:35.154441,2025-12-13T14:53:35.154441,"{""address"": ""Near Landmark 21, Colaba, Mumbai City"", ""latitude"": 18.899694049673297, ""longitude"": 72.8422663432734, ""district"": ""Mumbai City"", ""state"": ""Maharashtra""}",Incident of fraud reported near Mumbai City.,Detailed police incident report regarding FRAUD under jurisdiction of Colaba Police Station. Investigation initiated by Officer Rakesh Tiwari (BADGE-MUM-1021). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""420"", ""description"": ""Cheating and dishonestly inducing delivery of property""}, {""act"": ""IPC"", ""section"": ""406"", ""description"": ""Punishment for criminal breach of trust""}, {""act"": ""IPC"", ""section"": ""468"", ""description"": ""Forgery for purpose of cheating""}]",WALK_IN,USER-00010,USER-00010,2025-12-14T19:53:35.154441,2026-08-31T18:53:35.154454
CASE-000072,FIR/2025/PS-MUM-002/00072,STATION-PS-MUM-002,Bandra Police Station,OFFICER-00002,Jitendra Tripathi,BADGE-MUM-1002,NON_COGNIZABLE,THEFT,MEDIUM,REGISTERED,2025-11-09T02:53:35.154467,2025-11-07T15:53:35.154467,"{""address"": ""Near Landmark 85, Bandra West, Mumbai Suburban"", ""latitude"": 19.070645330883536, ""longitude"": 72.8294369638406, ""district"": ""Mumbai Suburban"", ""state"": ""Maharashtra""}",Incident of theft reported near Mumbai Suburban.,Detailed police incident report regarding THEFT under jurisdiction of Bandra Police Station. Investigation initiated by Officer Jitendra Tripathi (BADGE-MUM-1002). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""378"", ""description"": ""Theft""}, {""act"": ""IPC"", ""section"": ""379"", ""description"": ""Punishment for theft""}, {""act"": ""IPC"", ""section"": ""380"", ""description"": ""Theft in dwelling house""}, {""act"": ""BNS"", ""section"": ""303"", ""description"": ""Theft and aggravated theft""}]",WALK_IN,USER-00222,USER-00222,2025-11-09T02:53:35.154467,2026-08-31T18:53:35.154479
CASE-000073,FIR/2026/PS-PUN-001/00073,STATION-PS-PUN-001,Shivajinagar Police Station,OFFICER-00043,Chandan Chatterjee,BADGE-PUN-1043,COGNIZABLE,ROBBERY,HIGH,UNDER_INVESTIGATION,2025-08-15T07:53:35.154492,2025-08-13T08:53:35.154492,"{""address"": ""Near Landmark 97, Shivajinagar, Pune"", ""latitude"": 18.511878486736183, ""longitude"": 73.82976801810031, ""district"": ""Pune"", ""state"": ""Maharashtra""}",Incident of robbery reported near Pune.,Detailed police incident report regarding ROBBERY under jurisdiction of Shivajinagar Police Station. Investigation initiated by Officer Chandan Chatterjee (BADGE-PUN-1043). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""392"", ""description"": ""Punishment for robbery""}, {""act"": ""IPC"", ""section"": ""395"", ""description"": ""Punishment for dacoity""}, {""act"": ""BNS"", ""section"": ""309"", ""description"": ""Robbery""}]",WALK_IN,USER-00004,USER-00004,2025-08-15T07:53:35.154492,2026-08-31T18:53:35.154507
CASE-000074,FIR/2025/PS-DEL-001/00074,STATION-PS-DEL-001,Connaught Place Police Station,OFFICER-00014,Sachin Bhatt,BADGE-CEN-1014,NON_COGNIZABLE,FINANCIAL_CRIME,MEDIUM,UNDER_INVESTIGATION,2025-11-29T04:53:35.154520,2025-11-28T13:53:35.154520,"{""address"": ""Near Landmark 12, Connaught Place, Central Delhi"", ""latitude"": 28.632857124227833, ""longitude"": 77.22338592993498, ""district"": ""Central Delhi"", ""state"": ""Delhi""}",Incident of financial crime reported near Central Delhi.,Detailed police incident report regarding FINANCIAL_CRIME under jurisdiction of Connaught Place Police Station. Investigation initiated by Officer Sachin Bhatt (BADGE-CEN-1014). Initial inspection conducted at incident location.,"[{""act"": ""PMLA"", ""section"": ""3"", ""description"": ""Offence of money-laundering""}, {""act"": ""IPC"", ""section"": ""409"", ""description"": ""Criminal breach of trust by public servant, banker, merchant or agent""}]",WALK_IN,USER-00014,USER-00014,2025-11-29T04:53:35.154520,2026-08-31T18:53:35.154535
CASE-000075,FIR/2025/PS-DEL-002/00075,STATION-PS-DEL-002,Hauz Khas Police Station,OFFICER-00045,Sunil Agarwal,BADGE-SOU-1045,NON_COGNIZABLE,DRUG_OFFENCE,MEDIUM,UNDER_INVESTIGATION,2025-06-29T14:53:35.154550,2025-06-28T07:53:35.154550,"{""address"": ""Near Landmark 95, Hauz Khas, South Delhi"", ""latitude"": 28.549746019695853, ""longitude"": 77.19713084394746, ""district"": ""South Delhi"", ""state"": ""Delhi""}",Incident of drug offence reported near South Delhi.,Detailed police incident report regarding DRUG_OFFENCE under jurisdiction of Hauz Khas Police Station. Investigation initiated by Officer Sunil Agarwal (BADGE-SOU-1045). Initial inspection conducted at incident location.,"[{""act"": ""NDPS Act"", ""section"": ""20"", ""description"": ""Punishment for contravention in relation to cannabis""}, {""act"": ""NDPS Act"", ""section"": ""21"", ""description"": ""Punishment for contravention in relation to manufactured drugs""}]",WALK_IN,USER-00247,USER-00247,2025-06-29T14:53:35.154550,2026-08-31T18:53:35.154562
