activity_id,case_id,fir_number,activity_type,description,performed_by_officer_id,timestamp
ACT-000886,CASE-000086,FIR/2026/PS-BLR-001/00086,CLOSED,Case investigation concluded and case closed.,OFFICER-00048,2026-04-05T18:53:35.154880
ACT-000887,CASE-000087,FIR/2024/PS-BLR-002/00087,WITNESS_ADDED,Witness Anil Deshmukh added to case record.,OFFICER-00047,2026-07-08T19:53:35.154904
ACT-000888,CASE-000088,FIR/2025/PS-CHE-001/00088,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00013,2025-11-07T17:53:35.154968
ACT-000889,CASE-000089,FIR/2025/PS-CHE-002/00089,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00030,2025-08-13T22:53:35.155013
ACT-000890,CASE-000090,FIR/2024/PS-LKO-001/00090,CLOSED,Case investigation concluded and case closed.,OFFICER-00013,2025-10-27T05:53:35.155054
ACT-000891,CASE-000091,FIR/2025/PS-MUM-001/00091,INTERROGATION,Suspect Aditya Srivastava brought in for questioning.,OFFICER-00002,2025-11-06T03:53:35.155095
ACT-000892,CASE-000092,FIR/2024/PS-MUM-002/00092,INTERROGATION,Suspect Suresh Bansal brought in for questioning.,OFFICER-00032,2026-04-02T01:53:35.155135
ACT-000893,CASE-000093,FIR/2024/PS-PUN-001/00093,INTERROGATION,Suspect Mahesh Mukherjee brought in for questioning.,OFFICER-00045,2026-07-06T00:53:35.155177
ACT-000894,CASE-000094,FIR/2026/PS-DEL-001/00094,INTERROGATION,Suspect Alok Bhowmick brought in for questioning.,OFFICER-00027,2026-08-24T14:53:35.155226
ACT-000895,CASE-000095,FIR/2025/PS-DEL-002/00095,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00032,2026-07-27T19:53:35.155271
ACT-000896,CASE-000096,FIR/2026/PS-BLR-001/00096,INTERROGATION,Suspect Prachi Reddy brought in for questioning.,OFFICER-00006,2025-04-25T15:53:35.155320
ACT-000897,CASE-000097,FIR/2026/PS-BLR-002/00097,ASSIGNED,Case assigned to Primary IO Chandan Chatterjee (BADGE-PUN-1043).,OFFICER-00043,2026-06-18T20:53:35.155362
ACT-000898,CASE-000098,FIR/2025/PS-CHE-001/00098,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00011,2026-08-06T08:53:35.155404
ACT-000899,CASE-000099,FIR/2024/PS-CHE-002/00099,INTERROGATION,Suspect Aditya Rao brought in for questioning.,OFFICER-00034,2025-04-30T20:53:35.155446
ACT-000900,CASE-000100,FIR/2026/PS-LKO-001/00100,REGISTERED,FIR filed and case registered at Hazratganj Police Station.,OFFICER-00016,2025-07-23T07:53:35.155489
ACT-000901,CASE-000101,FIR/2025/PS-MUM-001/00101,REGISTERED,FIR filed and case registered at Colaba Police Station.,OFFICER-00015,2025-05-24T22:53:35.155532
ACT-000902,CASE-000102,FIR/2024/PS-MUM-002/00102,CLOSED,Case investigation concluded and case closed.,OFFICER-00019,2026-07-03T18:53:35.155574
ACT-000903,CASE-000103,FIR/2024/PS-PUN-001/00103,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00021,2026-03-24T22:53:35.155621
ACT-000904,CASE-000104,FIR/2026/PS-DEL-001/00104,ASSIGNED,Case assigned to Primary IO Gaurav Tiwari (BADGE-MUM-1022).,OFFICER-00022,2026-07-11T02:53:35.155663
ACT-000905,CASE-000105,FIR/2025/PS-DEL-002/00105,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00008,2025-11-05T18:53:35.155703
ACT-000906,CASE-000106,FIR/2026/PS-BLR-001/00106,WITNESS_ADDED,Witness Abhishek Malik added to case record.,OFFICER-00036,2025-09-23T05:53:35.155743
ACT-000907,CASE-000107,FIR/2024/PS-BLR-002/00107,WITNESS_ADDED,Witness Neha Chauhan added to case record.,OFFICER-00029,2026-03-04T16:53:35.155816
ACT-000908,CASE-000108,FIR/2026/PS-CHE-001/00108,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00048,2026-04-13T11:53:35.155864
ACT-000909,CASE-000109,FIR/2026/PS-CHE-002/00109,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00010,2025-10-14T06:53:35.155910
ACT-000910,CASE-000110,FIR/2026/PS-LKO-001/00110,REGISTERED,FIR filed and case registered at Hazratganj Police Station.,OFFICER-00037,2025-06-21T11:53:35.155954
ACT-000911,CASE-000111,FIR/2024/PS-MUM-001/00111,REGISTERED,FIR filed and case registered at Colaba Police Station.,OFFICER-00034,2026-08-05T18:53:35.155996
ACT-000912,CASE-000112,FIR/2024/PS-MUM-002/00112,STATUS_CHANGED,Case status updated to COURT_PROCEEDINGS.,OFFICER-00009,2025-09-05T07:53:35.156041
ACT-000913,CASE-000113,FIR/2024/PS-PUN-001/00113,WITNESS_ADDED,Witness Rohan Joshi added to case record.,OFFICER-00009,2025-05-14T22:53:35.156083
ACT-000914,CASE-000114,FIR/2025/PS-DEL-001/00114,REGISTERED,FIR filed and case registered at Connaught Place Police Station.,OFFICER-00038,2026-07-09T05:53:35.156139
ACT-000915,CASE-000115,FIR/2024/PS-DEL-002/00115,CLOSED,Case investigation concluded and case closed.,OFFICER-00045,2025-11-22T00:53:35.156179
ACT-000916,CASE-000116,FIR/2026/PS-BLR-001/00116,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00023,2025-09-09T02:53:35.156219
ACT-000917,CASE-000117,FIR/2024/PS-BLR-002/00117,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00023,2025-05-29T17:53:35.156259
ACT-000918,CASE-000118,FIR/2024/PS-CHE-001/00118,STATUS_CHANGED,Case status updated to CHARGE_SHEET_FILED.,OFFICER-00024,2026-04-28T04:53:35.156299
ACT-000919,CASE-000119,FIR/2025/PS-CHE-002/00119,ASSIGNED,Case assigned to Primary IO Radha Dubey (BADGE-MUM-1041).,OFFICER-00041,2025-05-18T20:53:35.156339
ACT-000920,CASE-000120,FIR/2024/PS-LKO-001/00120,REGISTERED,FIR filed and case registered at Hazratganj Police Station.,OFFICER-00015,2025-06-03T23:53:35.156390
ACT-000921,CASE-000121,FIR/2026/PS-MUM-001/00121,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00023,2026-07-13T18:53:35.156456
ACT-000922,CASE-000122,FIR/2026/PS-MUM-002/00122,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00037,2026-07-13T10:53:35.156503
ACT-000923,CASE-000123,FIR/2024/PS-PUN-001/00123,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00035,2026-04-10T08:53:35.156548
ACT-000924,CASE-000124,FIR/2026/PS-DEL-001/00124,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00033,2026-07-26T13:53:35.156591
ACT-000925,CASE-000125,FIR/2025/PS-DEL-002/00125,WITNESS_ADDED,Witness Pankaj Verma added to case record.,OFFICER-00040,2026-02-06T17:53:35.156632
ACT-000926,CASE-000126,FIR/2024/PS-BLR-001/00126,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00008,2026-06-03T11:53:35.156674
ACT-000927,CASE-000127,FIR/2024/PS-BLR-002/00127,INTERROGATION,Suspect Rahul Reddy brought in for questioning.,OFFICER-00035,2026-05-07T05:53:35.156715
ACT-000928,CASE-000128,FIR/2024/PS-CHE-001/00128,CLOSED,Case investigation concluded and case closed.,OFFICER-00016,2026-03-05T15:53:35.156761
ACT-000929,CASE-000129,FIR/2026/PS-CHE-002/00129,CLOSED,Case investigation concluded and case closed.,OFFICER-00043,2026-07-25T03:53:35.156803
ACT-000930,CASE-000130,FIR/2025/PS-LKO-001/00130,WITNESS_ADDED,Witness Tarun Bhowmick added to case record.,OFFICER-00015,2025-07-07T03:53:35.156853
ACT-000931,CASE-000131,FIR/2025/PS-MUM-001/00131,INTERROGATION,Suspect Rajesh Agarwal brought in for questioning.,OFFICER-00031,2026-05-28T22:53:35.156901
ACT-000932,CASE-000132,FIR/2026/PS-MUM-002/00132,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00023,2026-03-12T07:53:35.156947
ACT-000933,CASE-000133,FIR/2025/PS-PUN-001/00133,INTERROGATION,Suspect Ganesh Srivastava brought in for questioning.,OFFICER-00028,2026-01-09T20:53:35.156991
ACT-000934,CASE-000134,FIR/2024/PS-DEL-001/00134,ASSIGNED,Case assigned to Primary IO Deepa Saxena (BADGE-CHE-1039).,OFFICER-00039,2025-10-30T13:53:35.157038
ACT-000935,CASE-000135,FIR/2025/PS-DEL-002/00135,INTERROGATION,Suspect Kiran Dubey brought in for questioning.,OFFICER-00003,2025-11-27T02:53:35.157081
ACT-000936,CASE-000136,FIR/2025/PS-BLR-001/00136,INTERROGATION,Suspect Renu Yadav brought in for questioning.,OFFICER-00018,2025-08-01T02:53:35.157122
ACT-000937,CASE-000137,FIR/2025/PS-BLR-002/00137,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00002,2025-12-31T06:53:35.157164
ACT-000938,CASE-000138,FIR/2026/PS-CHE-001/00138,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00011,2025-12-11T01:53:35.157207
ACT-000939,CASE-000139,FIR/2026/PS-CHE-002/00139,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00020,2025-05-25T08:53:35.157250
ACT-000940,CASE-000140,FIR/2025/PS-LKO-001/00140,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00038,2026-02-07T05:53:35.157291
ACT-000941,CASE-000141,FIR/2026/PS-MUM-001/00141,CLOSED,Case investigation concluded and case closed.,OFFICER-00022,2026-06-12T07:53:35.157331
ACT-000942,CASE-000142,FIR/2024/PS-MUM-002/00142,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00027,2026-08-03T03:53:35.157372
ACT-000943,CASE-000143,FIR/2024/PS-PUN-001/00143,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00007,2025-05-27T10:53:35.157416
ACT-000944,CASE-000144,FIR/2024/PS-DEL-001/00144,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00006,2025-07-11T17:53:35.157458
ACT-000945,CASE-000145,FIR/2025/PS-DEL-002/00145,REGISTERED,FIR filed and case registered at Hauz Khas Police Station.,OFFICER-00025,2026-01-09T11:53:35.157503
ACT-000946,CASE-000146,FIR/2026/PS-BLR-001/00146,ASSIGNED,Case assigned to Primary IO Savita Kulkarni (BADGE-LUC-1010).,OFFICER-00010,2026-02-04T02:53:35.157545
ACT-000947,CASE-000147,FIR/2024/PS-BLR-002/00147,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00040,2026-02-10T11:53:35.157587
ACT-000948,CASE-000148,FIR/2026/PS-CHE-001/00148,WITNESS_ADDED,Witness Nilesh Bansal added to case record.,OFFICER-00004,2026-04-14T18:53:35.157628
ACT-000949,CASE-000149,FIR/2025/PS-CHE-002/00149,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00023,2025-10-05T16:53:35.157673
ACT-000950,CASE-000150,FIR/2026/PS-LKO-001/00150,ASSIGNED,Case assigned to Primary IO Rakesh Tiwari (BADGE-MUM-1021).,OFFICER-00021,2025-05-03T07:53:35.157717
ACT-000951,CASE-000151,FIR/2024/PS-MUM-001/00151,REGISTERED,FIR filed and case registered at Colaba Police Station.,OFFICER-00050,2026-05-01T09:53:35.157759
ACT-000952,CASE-000152,FIR/2024/PS-MUM-002/00152,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00031,2025-10-20T07:53:35.157803
ACT-000953,CASE-000153,FIR/2024/PS-PUN-001/00153,WITNESS_ADDED,Witness Devendra Menon added to case record.,OFFICER-00004,2026-07-27T20:53:35.157844
ACT-000954,CASE-000154,FIR/2024/PS-DEL-001/00154,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00006,2026-08-16T06:53:35.157888
ACT-000955,CASE-000155,FIR/2026/PS-DEL-002/00155,ASSIGNED,Case assigned to Primary IO Aarti Malik (BADGE-CHE-1048).,OFFICER-00048,2025-12-05T23:53:35.157927
ACT-000956,CASE-000156,FIR/2024/PS-BLR-001/00156,INTERROGATION,Suspect Sunil Rao brought in for questioning.,OFFICER-00048,2026-03-08T17:53:35.157972
ACT-000957,CASE-000157,FIR/2025/PS-BLR-002/00157,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00044,2026-01-27T15:53:35.158015
ACT-000958,CASE-000158,FIR/2024/PS-CHE-001/00158,ASSIGNED,Case assigned to Primary IO Nikhil Gowda (BADGE-SOU-1015).,OFFICER-00015,2025-10-12T04:53:35.158069
ACT-000959,CASE-000159,FIR/2025/PS-CHE-002/00159,WITNESS_ADDED,Witness Kiran Nair added to case record.,OFFICER-00050,2026-08-03T04:53:35.158122
ACT-000960,CASE-000160,FIR/2026/PS-LKO-001/00160,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00048,2026-01-10T22:53:35.158164
ACT-000961,CASE-000161,FIR/2026/PS-MUM-001/00161,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00028,2026-07-20T20:53:35.158204
ACT-000962,CASE-000162,FIR/2025/PS-MUM-002/00162,CLOSED,Case investigation concluded and case closed.,OFFICER-00010,2026-06-13T07:53:35.158245
ACT-000963,CASE-000163,FIR/2025/PS-PUN-001/00163,STATUS_CHANGED,Case status updated to REGISTERED.,OFFICER-00024,2026-08-16T10:53:35.158285
ACT-000964,CASE-000164,FIR/2025/PS-DEL-001/00164,STATUS_CHANGED,Case status updated to CHARGE_SHEET_FILED.,OFFICER-00001,2026-07-21T01:53:35.158325
ACT-000965,CASE-000165,FIR/2025/PS-DEL-002/00165,ASSIGNED,Case assigned to Primary IO Nikhil Gowda (BADGE-SOU-1015).,OFFICER-00015,2026-07-29T06:53:35.158365
ACT-000966,CASE-000166,FIR/2026/PS-BLR-001/00166,CLOSED,Case investigation concluded and case closed.,OFFICER-00020,2025-12-11T14:53:35.158405
ACT-000967,CASE-000167,FIR/2025/PS-BLR-002/00167,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00034,2025-11-02T16:53:35.158453
ACT-000968,CASE-000168,FIR/2026/PS-CHE-001/00168,WITNESS_ADDED,Witness Pravin Nair added to case record.,OFFICER-00016,2025-10-16T20:53:35.158495
ACT-000969,CASE-000169,FIR/2025/PS-CHE-002/00169,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00023,2026-04-14T19:53:35.158535
ACT-000970,CASE-000170,FIR/2026/PS-LKO-001/00170,WITNESS_ADDED,Witness Kiran Nair added to case record.,OFFICER-00034,2026-01-21T09:53:35.158583
ACT-000971,CASE-000171,FIR/2024/PS-MUM-001/00171,CLOSED,Case investigation concluded and case closed.,OFFICER-00026,2025-09-26T06:53:35.158631
ACT-000972,CASE-000172,FIR/2025/PS-MUM-002/00172,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00032,2025-11-10T11:53:35.158675
ACT-000973,CASE-000173,FIR/2024/PS-PUN-001/00173,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00027,2025-06-12T06:53:35.158725
ACT-000974,CASE-000174,FIR/2025/PS-DEL-001/00174,CLOSED,Case investigation concluded and case closed.,OFFICER-00007,2025-06-08T05:53:35.158775
ACT-000975,CASE-000175,FIR/2025/PS-DEL-002/00175,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00028,2025-11-02T12:53:35.158819
ACT-000976,CASE-000176,FIR/2025/PS-BLR-001/00176,CLOSED,Case investigation concluded and case closed.,OFFICER-00015,2025-05-16T21:53:35.158871
ACT-000977,CASE-000177,FIR/2024/PS-BLR-002/00177,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00028,2025-09-12T03:53:35.158922
ACT-000978,CASE-000178,FIR/2026/PS-CHE-001/00178,STATUS_CHANGED,Case status updated to CHARGE_SHEET_FILED.,OFFICER-00014,2026-07-18T12:53:35.158968
ACT-000979,CASE-000179,FIR/2025/PS-CHE-002/00179,STATUS_CHANGED,Case status updated to COURT_PROCEEDINGS.,OFFICER-00024,2025-05-18T19:53:35.159011
ACT-000980,CASE-000180,FIR/2024/PS-LKO-001/00180,REGISTERED,FIR filed and case registered at Hazratganj Police Station.,OFFICER-00049,2025-12-04T14:53:35.159053
ACT-000981,CASE-000181,FIR/2026/PS-MUM-001/00181,CLOSED,Case investigation concluded and case closed.,OFFICER-00005,2026-06-29T20:53:35.159102
ACT-000982,CASE-000182,FIR/2025/PS-MUM-002/00182,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00037,2026-03-14T08:53:35.159275
ACT-000983,CASE-000183,FIR/2025/PS-PUN-001/00183,CLOSED,Case investigation concluded and case closed.,OFFICER-00045,2026-04-22T21:53:35.159382
ACT-000984,CASE-000184,FIR/2025/PS-DEL-001/00184,STATUS_CHANGED,Case status updated to REGISTERED.,OFFICER-00016,2025-05-26T18:53:35.159449
ACT-000985,CASE-000185,FIR/2024/PS-DEL-002/00185,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00006,2025-04-23T03:53:35.159508
ACT-000986,CASE-000186,FIR/2025/PS-BLR-001/00186,CLOSED,Case investigation concluded and case closed.,OFFICER-00009,2026-01-16T02:53:35.159561
ACT-000987,CASE-000187,FIR/2024/PS-BLR-002/00187,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00019,2025-04-29T11:53:35.159664
ACT-000988,CASE-000188,FIR/2025/PS-CHE-001/00188,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00009,2025-05-11T20:53:35.159746
ACT-000989,CASE-000189,FIR/2024/PS-CHE-002/00189,CLOSED,Case investigation concluded and case closed.,OFFICER-00032,2026-01-07T01:53:35.159786
ACT-000990,CASE-000190,FIR/2026/PS-LKO-001/00190,STATUS_CHANGED,Case status updated to REGISTERED.,OFFICER-00048,2026-02-09T11:53:35.159818
ACT-000991,CASE-000191,FIR/2026/PS-MUM-001/00191,CLOSED,Case investigation concluded and case closed.,OFFICER-00017,2026-07-19T12:53:35.159846
ACT-000992,CASE-000192,FIR/2025/PS-MUM-002/00192,REGISTERED,FIR filed and case registered at Bandra Police Station.,OFFICER-00015,2025-08-01T01:53:35.159874
ACT-000993,CASE-000193,FIR/2024/PS-PUN-001/00193,REGISTERED,FIR filed and case registered at Shivajinagar Police Station.,OFFICER-00047,2025-08-24T08:53:35.159903
ACT-000994,CASE-000194,FIR/2026/PS-DEL-001/00194,REGISTERED,FIR filed and case registered at Connaught Place Police Station.,OFFICER-00029,2025-11-24T18:53:35.159946
ACT-000995,CASE-000195,FIR/2025/PS-DEL-002/00195,STATUS_CHANGED,Case status updated to REGISTERED.,OFFICER-00002,2025-12-12T05:53:35.159976
ACT-000996,CASE-000196,FIR/2025/PS-BLR-001/00196,REGISTERED,FIR filed and case registered at Koramangala Police Station.,OFFICER-00001,2025-08-30T14:53:35.160003
ACT-000997,CASE-000197,FIR/2026/PS-BLR-002/00197,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00013,2025-11-03T09:53:35.160029
ACT-000998,CASE-000198,FIR/2026/PS-CHE-001/00198,REGISTERED,FIR filed and case registered at T. Nagar Police Station.,OFFICER-00004,2025-04-20T13:53:35.160061
ACT-000999,CASE-000199,FIR/2026/PS-CHE-002/00199,ASSIGNED,Case assigned to Primary IO Ramesh Reddy (BADGE-BAN-1016).,OFFICER-00016,2026-01-02T21:53:35.160088
ACT-001000,CASE-000200,FIR/2024/PS-LKO-001/00200,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00018,2025-12-01T23:53:35.160117
ACT-001001,CASE-000001,FIR/2026/PS-MUM-001/00001,INTERROGATION,Suspect Asha Mehta brought in for questioning.,OFFICER-00013,2025-06-18T08:53:35.150719
ACT-001002,CASE-000002,FIR/2026/PS-MUM-002/00002,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00001,2026-07-24T20:53:35.150816
ACT-001003,CASE-000003,FIR/2025/PS-PUN-001/00003,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00007,2026-08-13T01:53:35.150882
ACT-001004,CASE-000004,FIR/2024/PS-DEL-001/00004,WITNESS_ADDED,Witness Indu Gupta added to case record.,OFFICER-00007,2025-07-01T12:53:35.150934
ACT-001005,CASE-000005,FIR/2026/PS-DEL-002/00005,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00044,2025-06-07T04:53:35.150994
ACT-001006,CASE-000006,FIR/2026/PS-BLR-001/00006,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00046,2026-08-01T03:53:35.151044
ACT-001007,CASE-000007,FIR/2024/PS-BLR-002/00007,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00035,2025-08-28T06:53:35.151090
ACT-001008,CASE-000008,FIR/2025/PS-CHE-001/00008,CLOSED,Case investigation concluded and case closed.,OFFICER-00037,2026-02-21T08:53:35.151135
ACT-001009,CASE-000009,FIR/2025/PS-CHE-002/00009,REGISTERED,FIR filed and case registered at Mylapore Police Station.,OFFICER-00032,2025-05-17T10:53:35.151179
ACT-001010,CASE-000010,FIR/2025/PS-LKO-001/00010,REGISTERED,FIR filed and case registered at Hazratganj Police Station.,OFFICER-00018,2026-04-17T19:53:35.151230
ACT-001011,CASE-000011,FIR/2025/PS-MUM-001/00011,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00014,2026-04-24T21:53:35.151282
ACT-001012,CASE-000012,FIR/2024/PS-MUM-002/00012,CLOSED,Case investigation concluded and case closed.,OFFICER-00027,2025-06-03T21:53:35.151326
ACT-001013,CASE-000013,FIR/2026/PS-PUN-001/00013,CLOSED,Case investigation concluded and case closed.,OFFICER-00007,2025-07-17T00:53:35.151371
ACT-001014,CASE-000014,FIR/2024/PS-DEL-001/00014,INTERROGATION,Suspect Asha Das brought in for questioning.,OFFICER-00037,2026-06-21T02:53:35.151414
ACT-001015,CASE-000015,FIR/2024/PS-DEL-002/00015,INTERROGATION,Suspect Amit Banerjee brought in for questioning.,OFFICER-00030,2025-06-11T05:53:35.151457
ACT-001016,CASE-000016,FIR/2026/PS-BLR-001/00016,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00033,2025-08-18T23:53:35.151502
ACT-001017,CASE-000017,FIR/2026/PS-BLR-002/00017,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00034,2025-11-06T18:53:35.151545
ACT-001018,CASE-000018,FIR/2025/PS-CHE-001/00018,ASSIGNED,Case assigned to Primary IO Vivek Nair (BADGE-CEN-1034).,OFFICER-00034,2026-08-06T18:53:35.151598
ACT-001019,CASE-000019,FIR/2025/PS-CHE-002/00019,CLOSED,Case investigation concluded and case closed.,OFFICER-00037,2026-03-10T16:53:35.151661
ACT-001020,CASE-000020,FIR/2024/PS-LKO-001/00020,WITNESS_ADDED,Witness Vikram Kulkarni added to case record.,OFFICER-00029,2026-02-25T08:53:35.151744
ACT-001021,CASE-000021,FIR/2024/PS-MUM-001/00021,ASSIGNED,Case assigned to Primary IO Rekha Mishra (BADGE-CHE-1018).,OFFICER-00018,2026-01-05T22:53:35.151802
ACT-001022,CASE-000022,FIR/2024/PS-MUM-002/00022,REGISTERED,FIR filed and case registered at Bandra Police Station.,OFFICER-00020,2026-05-23T19:53:35.151990
ACT-001023,CASE-000023,FIR/2024/PS-PUN-001/00023,REGISTERED,FIR filed and case registered at Shivajinagar Police Station.,OFFICER-00007,2026-01-26T14:53:35.152053
ACT-001024,CASE-000024,FIR/2024/PS-DEL-001/00024,ASSIGNED,Case assigned to Primary IO Umesh Deshmukh (BADGE-MUM-1032).,OFFICER-00032,2025-06-27T05:53:35.152104
ACT-001025,CASE-000025,FIR/2024/PS-DEL-002/00025,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00031,2026-02-02T05:53:35.152159
ACT-001026,CASE-000026,FIR/2024/PS-BLR-001/00026,REGISTERED,FIR filed and case registered at Koramangala Police Station.,OFFICER-00037,2026-03-27T02:53:35.152222
ACT-001027,CASE-000027,FIR/2025/PS-BLR-002/00027,INTERROGATION,Suspect Pooja Shetty brought in for questioning.,OFFICER-00022,2026-01-25T04:53:35.152605
ACT-001028,CASE-000028,FIR/2026/PS-CHE-001/00028,ASSIGNED,Case assigned to Primary IO Rakesh Tiwari (BADGE-MUM-1021).,OFFICER-00021,2026-07-29T20:53:35.152665
ACT-001029,CASE-000029,FIR/2024/PS-CHE-002/00029,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00020,2025-10-06T19:53:35.152724
ACT-001030,CASE-000030,FIR/2025/PS-LKO-001/00030,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00043,2025-04-24T16:53:35.152773
ACT-001031,CASE-000031,FIR/2025/PS-MUM-001/00031,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00010,2026-08-16T23:53:35.152828
ACT-001032,CASE-000032,FIR/2025/PS-MUM-002/00032,ASSIGNED,Case assigned to Primary IO Deepa Verma (BADGE-PUN-1003).,OFFICER-00003,2025-09-23T11:53:35.152878
ACT-001033,CASE-000033,FIR/2025/PS-PUN-001/00033,WITNESS_ADDED,Witness Manju Malik added to case record.,OFFICER-00031,2025-10-12T16:53:35.152928
ACT-001034,CASE-000034,FIR/2024/PS-DEL-001/00034,STATUS_CHANGED,Case status updated to CLOSED_UNSOLVED.,OFFICER-00006,2025-10-14T01:53:35.152979
ACT-001035,CASE-000035,FIR/2026/PS-DEL-002/00035,ASSIGNED,Case assigned to Primary IO Tarun Pandey (BADGE-BAN-1027).,OFFICER-00027,2025-04-24T12:53:35.153037
ACT-001036,CASE-000036,FIR/2024/PS-BLR-001/00036,INTERROGATION,Suspect Uma Patel brought in for questioning.,OFFICER-00046,2026-01-29T12:53:35.153086
ACT-001037,CASE-000037,FIR/2025/PS-BLR-002/00037,REGISTERED,FIR filed and case registered at Indiranagar Police Station.,OFFICER-00017,2026-05-29T07:53:35.153135
ACT-001038,CASE-000038,FIR/2025/PS-CHE-001/00038,WITNESS_ADDED,Witness Vikram Yadav added to case record.,OFFICER-00017,2026-08-15T08:53:35.153183
ACT-001039,CASE-000039,FIR/2025/PS-CHE-002/00039,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00007,2026-01-19T13:53:35.153237
ACT-001040,CASE-000040,FIR/2026/PS-LKO-001/00040,CLOSED,Case investigation concluded and case closed.,OFFICER-00007,2026-01-22T07:53:35.153284
ACT-001041,CASE-000041,FIR/2026/PS-MUM-001/00041,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00032,2026-04-30T06:53:35.153331
ACT-001042,CASE-000042,FIR/2026/PS-MUM-002/00042,CLOSED,Case investigation concluded and case closed.,OFFICER-00049,2025-10-26T08:53:35.153376
ACT-001043,CASE-000043,FIR/2026/PS-PUN-001/00043,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00020,2025-09-19T06:53:35.153497
